tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,,Forhjulsdrift,20.02.1996,8,Diesel,Volkswagen Caravelle,4,Norge,,Bruktbil til salgs,Personbil,46569,,365495,7520 Hegra,1996,,,Kasse,Ikke inklusiv,45000,1 735 kg,Manuell,,Rød,1569,98644893,,,,
,,Forhjulsdrift,,5,Bensin,Opel Vectra,,Norge,dl25695,Bruktbil til salgs,Personbil,35569,,167000,2930 Bagn,2005,190 g/km,,Stasjonsvogn,Inklusiv,34000,,Manuell,,Grå,1569,98681677,,122,"1,8 l",
,5,Forhjulsdrift,24.04.2003,5,Bensin,Toyota Corolla,5,Norge,AR88691,Bruktbil til salgs,Personbil,26569,,272952,2133 Gardvik,2003,159 g/km,,Kombi 5-dørs,Inklusiv,25000,1 160 kg,Manuell,Koksgrå,Grå,1569,98679907,,97,"1,4 l",Grå
,2,Forhjulsdrift,20.10.2014,5,Diesel,Volvo V70,5,Norge,FT48279,Bruktbil til salgs,Personbil,313660,,48500,5355 Knarrevik,2014,,,Stasjonsvogn,Inklusiv,310000,1 615 kg,Automat,,Sølv,3660,90031212,,163,2 l,
,4,Forhjulsdrift,25.10.2000,5,Bensin,Alfa Romeo 156,5,Norge,BP55684,Bruktbil til salgs,Personbil,7569,,182000,2010 Strømmen,2000,199 g/km,,Stasjonsvogn,Ikke inklusiv,6000,1 280 kg,Manuell,,Sølv,1569,98680382,,144,"1,7 l",sort skinn
,4,Firehjulsdrift,30.03.2006,7,Diesel,Land Rover Discovery,5,Norge,YZ94953,Bruktbil til salgs,Personbil,199999,,195000,8310 Kabelvåg,2006,,,SUV/Offroad,Inklusiv,196339,2 495 kg,Automat,Sort,Svart,3660,98680257,,190,"2,7 l",Sort
,2,Firehjulsdrift,24.03.2003,5,Bensin,Suzuki Baleno,5,Norge,VF53205,Bruktbil til salgs,Personbil,24569,,119000,7089 Heimdal,2003,179 g/km,,Stasjonsvogn,Inklusiv,23000,1 070 kg,Manuell,,Sølv,1569,98680505,,95,"1,6 l",
,4,Forhjulsdrift,08.07.2009,5,Diesel,Volvo S80,4,Norge,BR81435,Bruktbil til salgs,Personbil,112660,,198000,5650 Tysse,2010,151 g/km,,Sedan,Inklusiv,109000,1 512 kg,Manuell,,Blå,3660,92435573,,136,2 l,
,2,Firehjulsdrift,,3,Diesel,Toyota HiAce,5,Norge,DP82189,Bruktbil til salgs,Varebil,149755,,132500,1911 Flateby,2007,246 g/km,,Kasse,Inklusiv,148500,2 030 kg,Manuell,,Rød,1255,98333553,,117,"2,5 l",Grå
,2,Firehjulsdrift,24.02.2003,5,Bensin,Toyota RAV4,5,Norge,CF21455,Bruktbil til salgs,Personbil,27569,,219494,1415 Oppegård,2003,224 g/km,,SUV/Offroad,Ikke inklusiv,26000,1 310 kg,Automat,,Sølv,1569,98666298,,150,2 l,
,3,Firehjulsdrift,14.08.2007,5,Diesel,Audi A6 allroad,5,Norge,HB67960,Bruktbil til salgs,Personbil,175000,,165000,4017 Stavanger,2008,229 g/km,Quatro,Stasjonsvogn,Inklusiv,171412,1 875 kg,Automat,Dakarbeige,Beige,3588,85849496,,179,"2,7 l",Sort
,2,Forhjulsdrift,09.12.2013,4,Bensin,Skoda Citigo,5,Norge,PR22664,Bruktbil til salgs,Personbil,89900,,31700,4790 Lillesand,2014,95 g/km,,Kombi 5-dørs,Inklusiv,87286,865 kg,Manuell,,Hvit,2614,98673014,,60,1 l,
,3,Forhjulsdrift,25.10.2001,5,Bensin,Skoda Octavia,5,Norge,PP41758,Bruktbil til salgs,Personbil,14969,,182650,4631 Kristiansand,2001,173 g/km,,Kombi 5-dørs,Inklusiv,13400,1 205 kg,Manuell,,Sølv,1569,79033773,,102,"1,6 l",Grå
,3,Forhjulsdrift,13.07.2009,5,Diesel,Volkswagen Touran,5,Norge,BD63442,Bruktbil til salgs,Personbil,88660,,151000,1892 Degernes,2010,144 g/km,,Kombi 5-dørs,Inklusiv,85000,1 482 kg,Manuell,,Blå,3660,98680044,,105,"1,9 l",Grå / Svart
,3,Firehjulsdrift,07.12.2009,5,Diesel,BMW 3-serie,4,Norge,CF52588,Bruktbil til salgs,Personbil,198660,,49000,3070 Sande,2010,156 g/km,XDrive,Sedan,Ikke inklusiv,195000,1 540 kg,Automat,,Grå,3660,98679647,,163,2 l,Sort
,5,Firehjulsdrift,22.12.2006,4,Bensin,Suzuki Grand Vitara,3,Norge,KH46959,Bruktbil til salgs,Personbil,87000,,68788,0139 Oslo,2006,210 g/km,,SUV/Offroad,Inklusiv,83340,1 370 kg,Manuell,,Grå,3660,98674317,,106,"1,6 l",
,3,Forhjulsdrift,30.03.2005,5,Bensin,Volkswagen Golf,5,Norge,,Bruktbil til salgs,Personbil,46569,,114000,5281 Valestrandsfossen,2005,166 g/km,,Kombi 5-dørs,Ikke inklusiv,45000,1 189 kg,Manuell,,Grå,1569,98679791,,75,"1,4 l",
,,,17.03.2008,5,Diesel,Volkswagen Golf,,Norge,DN67931,Bruktbil til salgs,Personbil,69000,,163734,3232 Sandefjord,2008,,,Kombi 3-dørs,Ikke inklusiv,65340,1 251 kg,Manuell,,Grå,3660,98681088,,105,"1,9 l",
,2,Bakhjulsdrift,02.05.2014,5,Diesel,Mercedes-Benz E-Klasse,,Norge,PD48759,Bruktbil til salgs,Personbil,111569,,144000,1963 Fosser,2004,,,Sedan,Ikke inklusiv,110000,1 565 kg,Automat,,Grå,1569,98677766,,150,"2,1 l",
,2,Forhjulsdrift,11.08.2010,4,Bensin,Audi A1,3,Norge,SU91111,Bruktbil til salgs,Personbil,132614,,87859,5259 Hjellestad,2011,119 g/km,,Kombi 3-dørs,Inklusiv,130000,1 125 kg,Automat,FANTOMSORT/ISSØLV,Svart,2614,98327996,,122,"1,4 l",GRÅ-SO/SORT/SORT
,3,Firehjulsdrift,13.07.2006,5,Diesel,BMW X3,5,Norge,VF80018,Bruktbil til salgs,Personbil,133660,,190000,7520 Hegra,2006,191 g/km,,SUV/Offroad,Inklusiv,130000,1 745 kg,Manuell,,Sølv,3660,98677064,,150,2 l,Sort
,5,Bakhjulsdrift,06.01.1997,3,Diesel,Ford,6,Norge,SR86611,Bruktbil til salgs,Lett lastebil,21046,,248000,6827 Breim,1996,,,Kasse,Inklusiv,20000,2 850 kg,Automat,,Blå,1046,98670398,,211,"7,3 l",
,4,Forhjulsdrift,22.05.2008,2,Diesel,Ford Transit Connect,5,Norge,LJ31798,Bruktbil til salgs,Varebil,23255,,160000,3721 Skien,2008,171 g/km,,Kasse,Inklusiv,22000,1 500 kg,Manuell,,Hvit,1255,98680435,,75,"1,8 l",
,1,Forhjulsdrift,04.04.2013,7,Diesel,Ford S-MAX,5,Norge,,Bruktbil til salgs,Personbil,338660,,92000,3610 Kongsberg,2013,159 g/km,,Flerbruksbil,Ikke inklusiv,335000,1 614 kg,Automat,,Hvit,3660,96335012,,140,2 l,Svart
