tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,1,Forhjulsdrift,10.04.1990,5,Bensin,Volkswagen Jetta,4,Norge,YE58967,Bruktbil til salgs,Personbil,16069,550 l,178768,8020 Bodø,1990,,,Sedan,Inklusiv,14500,990 kg,Manuell,Metallic,Blå,1569,98364193,,90,"1,8 l",Blå
,,Forhjulsdrift,,2,Diesel,Volkswagen Caddy,,Norge,DP49917,Bruktbil til salgs,Varebil,99900,,83000,3612 Kongsberg,2014,139 g/km,,Kasse,Ikke inklusiv,97913,,Manuell,,Rød,1987,98365723,,75,"1,6 l",
,,Forhjulsdrift,28.12.2015,5,Diesel,Volvo V70,5,Norge,,Bruktbil til salgs,Personbil,359000,555 l,27800,5178 Loddefjord,2016,,,Stasjonsvogn,Ikke inklusiv,352936,1 595 kg,Manuell,Sort Safir,Svart,6064,90476363,"379 000,-",120,2 l,Sort Skinn
,,Firehjulsdrift,,7,Diesel,Mercedes-Benz M-Klasse,5,Norge,rj43958,Bruktbil til salgs,Personbil,89000,,260000,5450 Sunde,2002,250 g/km,,SUV/Offroad,Inklusiv,87431,,Automat,sølv,Sølv,1569,98364576,,163,"2,7 l",Svart
,1,Forhjulsdrift,25.08.2014,5,Elektrisitet+bensin,Toyota Yaris,5,Norge,,Bruktbil til salgs,Personbil,159000,286 l,49000,4636 Kristiansand,2014,,,Kombi 5-dørs,Ikke inklusiv,155027,1 085 kg,Automat,Sort metallic,Svart,3973,98365617,,100,"1,5 l",Mørk
,1,Bakhjulsdrift,18.12.2012,5,Diesel,BMW 3-serie,5,Norge,,Bruktbil til salgs,Personbil,259000,,82362,1520 Moss,2013,,,Stasjonsvogn,Inklusiv,255340,1 490 kg,Manuell,BLACK SAPPHIRE METALLIC (475),Svart,3660,98365636,,163,2 l,STOFF MOVE/ANTHRAZIT (BDAT)
,2,Bakhjulsdrift,29.05.1997,5,Bensin,Volvo 740,,Norge,PN78226,Bruktbil til salgs,Personbil,20000,,383000,4540 Åseral,1987,,,Stasjonsvogn,Inklusiv,,1 330 kg,Manuell,,Beige,Fritatt,98362869,,,"2,3 l",
,,Firehjulsdrift,12.06.2007,7,Diesel,Mitsubishi Outlander,5,Norge,BR48984,Bruktbil til salgs,Personbil,129000,882 l,140000,3170 Sem,2007,,,SUV/Offroad,Ikke inklusiv,125340,1 690 kg,Manuell,Metallic,Svart,3660,98365595,,140,2 l,Sort
,,Forhjulsdrift,30.09.2016,5,Bensin,Ford Ka+,5,Norge,,Bruktbil til salgs,Personbil,169000,270 l,2700,3221 Sandefjord,2016,,,Kombi 5-dørs,Ikke inklusiv,165027,980 kg,Manuell,Deep Impact Blue Metallic,Blå,3973,98365558,,86,"1,2 l",Sort Tøy
,1,Bakhjulsdrift,23.11.2011,5,Diesel,BMW 5-serie,5,Norge,BS36515,Bruktbil til salgs,Personbil,229000,560 l,178200,3420 Lierskogen,2012,,,Stasjonsvogn,Ikke inklusiv,225340,1 715 kg,Automat,Carbonsort met,Svart,3660,98365551,,163,2 l,Oyster Dakata skinn
